# redshift, dNdz, bias
2.580000000000000071e-01 1.827045738316318875e+03 1.500000000000000000e+00
2.590000000000000080e-01 1.835832060888500109e+03 1.500000000000000000e+00
2.600000000000000089e-01 1.844605639576062458e+03 1.500000000000000000e+00
2.610000000000000098e-01 1.853366313312570355e+03 1.500000000000000000e+00
2.620000000000000107e-01 1.862113922557036403e+03 1.500000000000000000e+00
2.630000000000000115e-01 1.870848309284971947e+03 1.500000000000000000e+00
2.640000000000000124e-01 1.879569316979485166e+03 1.500000000000000000e+00
2.650000000000000133e-01 1.888276790622419185e+03 1.500000000000000000e+00
2.660000000000000142e-01 1.896970576685534979e+03 1.500000000000000000e+00
2.670000000000000151e-01 1.905650523121737706e+03 1.500000000000000000e+00
2.680000000000000160e-01 1.914316479356342825e+03 1.500000000000000000e+00
2.690000000000000169e-01 1.922968296278388834e+03 1.500000000000000000e+00
2.700000000000000178e-01 1.931605826231988658e+03 1.500000000000000000e+00
2.710000000000000187e-01 1.940228923007725825e+03 1.500000000000000000e+00
2.720000000000000195e-01 1.948837441834090441e+03 1.500000000000000000e+00
2.730000000000000204e-01 1.957431239368958813e+03 1.500000000000000000e+00
2.740000000000000213e-01 1.966010173691112868e+03 1.500000000000000000e+00
2.750000000000000222e-01 1.974574104291802087e+03 1.500000000000000000e+00
2.760000000000000231e-01 1.983122892066346822e+03 1.500000000000000000e+00
2.770000000000000240e-01 1.991656399305781861e+03 1.500000000000000000e+00
2.780000000000000249e-01 2.000174489688539097e+03 1.500000000000000000e+00
2.790000000000000258e-01 2.008677028272179314e+03 1.500000000000000000e+00
2.800000000000000266e-01 2.017163881485149204e+03 1.500000000000000000e+00
2.810000000000000275e-01 2.025634917118594558e+03 1.500000000000000000e+00
2.820000000000000284e-01 2.034090004318203000e+03 1.500000000000000000e+00
2.830000000000000293e-01 2.042529013576091984e+03 1.500000000000000000e+00
2.840000000000000302e-01 2.050951816722734293e+03 1.500000000000000000e+00
2.850000000000000311e-01 2.059358286918921749e+03 1.500000000000000000e+00
2.860000000000000320e-01 2.067748298647775755e+03 1.500000000000000000e+00
2.870000000000000329e-01 2.076121727706784441e+03 1.500000000000000000e+00
2.880000000000000338e-01 2.084478451199891879e+03 1.500000000000000000e+00
2.889999999999999791e-01 2.092818347529616403e+03 1.500000000000000000e+00
2.899999999999999800e-01 2.101141296389216222e+03 1.500000000000000000e+00
2.909999999999999809e-01 2.109447178754883680e+03 1.500000000000000000e+00
2.919999999999999818e-01 2.117735876877987721e+03 1.500000000000000000e+00
2.929999999999999827e-01 2.126007274277348188e+03 1.500000000000000000e+00
2.939999999999999836e-01 2.134261255731549227e+03 1.500000000000000000e+00
2.949999999999999845e-01 2.142497707271294075e+03 1.500000000000000000e+00
2.959999999999999853e-01 2.150716516171793046e+03 1.500000000000000000e+00
2.969999999999999862e-01 2.158917570945192892e+03 1.500000000000000000e+00
2.979999999999999871e-01 2.167100761333039372e+03 1.500000000000000000e+00
2.989999999999999880e-01 2.175265978298780283e+03 1.500000000000000000e+00
2.999999999999999889e-01 2.183413114020307148e+03 1.500000000000000000e+00
3.009999999999999898e-01 2.191542061882526014e+03 1.500000000000000000e+00
3.019999999999999907e-01 2.199652716469976895e+03 1.500000000000000000e+00
3.029999999999999916e-01 2.207744973559476875e+03 1.500000000000000000e+00
3.039999999999999925e-01 2.215818730112812318e+03 1.500000000000000000e+00
3.049999999999999933e-01 2.223873884269454265e+03 1.500000000000000000e+00
3.059999999999999942e-01 2.231910335339322046e+03 1.500000000000000000e+00
3.069999999999999951e-01 2.239927983795574619e+03 1.500000000000000000e+00
3.079999999999999960e-01 2.247926731267442392e+03 1.500000000000000000e+00
3.089999999999999969e-01 2.255906480533089962e+03 1.500000000000000000e+00
3.099999999999999978e-01 2.263867135512519326e+03 1.500000000000000000e+00
3.109999999999999987e-01 2.271808601260507203e+03 1.500000000000000000e+00
3.119999999999999996e-01 2.279730783959573273e+03 1.500000000000000000e+00
3.130000000000000004e-01 2.287633590912988893e+03 1.500000000000000000e+00
3.140000000000000013e-01 2.295516930537817643e+03 1.500000000000000000e+00
3.150000000000000022e-01 2.303380712357991797e+03 1.500000000000000000e+00
3.160000000000000031e-01 2.311224846997421537e+03 1.500000000000000000e+00
3.170000000000000040e-01 2.319049246173141910e+03 1.500000000000000000e+00
3.180000000000000049e-01 2.326853822688490254e+03 1.500000000000000000e+00
3.190000000000000058e-01 2.334638490426320004e+03 1.500000000000000000e+00
3.200000000000000067e-01 2.342403164342247237e+03 1.500000000000000000e+00
3.210000000000000075e-01 2.350147760457930872e+03 1.500000000000000000e+00
3.220000000000000084e-01 2.357872195854390611e+03 1.500000000000000000e+00
3.230000000000000093e-01 2.365576388665349441e+03 1.500000000000000000e+00
3.240000000000000102e-01 2.373260258070621148e+03 1.500000000000000000e+00
3.250000000000000111e-01 2.380923724289518304e+03 1.500000000000000000e+00
