# k power
1.262121314522547276e-03 2.289983369798009517e+04
1.276750704319265777e-03 2.313271897268175599e+04
1.291549665014883998e-03 2.336762707842846430e+04
1.306520162124721234e-03 2.360456727304532251e+04
1.321664183946605082e-03 2.384354868717970385e+04
1.336983741824946661e-03 2.408458031976820348e+04
1.352480870417875451e-03 2.432767103344541829e+04
1.368157627967471913e-03 2.457282955682744432e+04
1.384016096573131502e-03 2.482006445041276675e+04
1.400058382468097589e-03 2.506938419915138365e+04
1.416286616299198848e-03 2.532079680711173205e+04
1.432702953409831009e-03 2.557430927029097074e+04
1.449309574126216591e-03 2.582992794116952427e+04
1.466108684046984459e-03 2.608765896663563763e+04
1.483102514336104337e-03 2.634750826736650561e+04
1.500293322019218348e-03 2.660948151656398841e+04
1.517683390283405343e-03 2.687358414558990626e+04
1.535275028780422714e-03 2.713982133310727659e+04
1.553070573933460147e-03 2.740819800067865071e+04
1.571072389247450424e-03 2.767871880637880167e+04
1.589282865622978049e-03 2.795138813875292908e+04
1.607704421673823627e-03 2.822621011072732290e+04
1.626339504048192157e-03 2.850318855342593088e+04
1.645190587753662514e-03 2.878232700997509892e+04
1.664260176485903671e-03 2.906362872925194824e+04
1.683550802961202323e-03 2.934709665959520498e+04
1.703065029252844422e-03 2.963273344247794375e+04
1.722805447131393972e-03 2.992054140614339121e+04
1.742774678408919205e-03 3.021052255919932941e+04
1.762975375287205784e-03 3.050267858418125616e+04
1.783410220710008025e-03 3.079701083107956219e+04
1.804081928719382779e-03 3.109352031088048898e+04
1.824993244816152391e-03 3.139220768880513060e+04
1.846146946324547485e-03 3.169307327857525888e+04
1.867545842761075955e-03 3.199611703358466912e+04
1.889192776207666326e-03 3.230133854442184020e+04
1.911090621689137941e-03 3.260873703116826437e+04
1.933242287555045260e-03 3.291831130504694011e+04
1.955650715865949168e-03 3.323005992763111135e+04
1.978318882784164089e-03 3.354398034483841184e+04
2.001249798969036847e-03 3.386006829388205369e+04
2.024446509976803900e-03 3.417831825012247282e+04
2.047912096665085481e-03 3.449872430958531186e+04
2.071649675602069141e-03 3.482128002285453840e+04
2.095662399480432980e-03 3.514597841211220657e+04
2.119953457536071038e-03 3.547281196732784883e+04
2.144526075971667656e-03 3.580177263232754194e+04
2.169383518385184159e-03 3.613285179919806251e+04
2.194529086203313769e-03 3.646604029902527691e+04
2.219966119119954652e-03 3.680132839386508567e+04
2.245697995539773940e-03 3.713870576844712195e+04
2.271728133026905232e-03 3.747816152194874303e+04
2.298059988758851136e-03 3.781968415982254373e+04
2.324697059985648094e-03 3.816326158564554498e+04
2.351642884494348565e-03 3.850888109302638622e+04
2.378901041078893431e-03 3.885652935755876388e+04
2.406475150015424062e-03 3.920619242883415427e+04
2.434368873543110365e-03 3.955785572251096892e+04
2.462585916350546866e-03 3.991150401244145178e+04
2.491130026067788373e-03 4.026712142290839256e+04
2.520004993764092018e-03 4.062469142087901128e+04
2.549214654451422910e-03 4.098419680820595386e+04
2.578762887593801043e-03 4.134561971519221697e+04
2.608653617622547997e-03 4.170894158869625971e+04
2.638890814457510187e-03 4.207414319798142242e+04
2.669478494034320699e-03 4.244120459888357436e+04
2.700420718837772543e-03 4.281010515480482718e+04
2.731721598441376204e-03 4.318082362233370077e+04
2.763385290053169997e-03 4.355333677063123469e+04
2.795415999067856535e-03 4.392761808945414668e+04
2.827817979625341181e-03 4.430363904580785311e+04
2.860595535175741895e-03 4.468137066935015173e+04
2.893753019050950264e-03 4.506078342925227480e+04
2.927294835042816134e-03 4.544184692717323196e+04
2.961225437988034351e-03 4.582453137871911895e+04
2.995549334359812969e-03 4.620880803070354159e+04
3.030271082866396216e-03 4.659464772696028376e+04
3.065395295056526793e-03 4.698201816722554940e+04
3.100926635931926852e-03 4.737088265733455773e+04
3.136869824566876613e-03 4.776120336228318774e+04
3.173229634734976452e-03 4.815294345773058740e+04
3.210010895543171858e-03 4.854606682324832218e+04
3.247218492073128838e-03 4.894053645951614453e+04
3.284857366030043482e-03 4.933631298534292000e+04
3.322932516398971556e-03 4.973335452804937813e+04
3.361449000108765288e-03 5.013161831582500599e+04
3.400411932703706255e-03 5.053106100281723047e+04
3.439826489022924580e-03 5.093163858621132385e+04
3.479697903887691603e-03 5.133330564045836218e+04
3.520031472796678832e-03 5.173601460449272417e+04
3.560832552629277729e-03 5.213971597976850899e+04
3.602106562357070083e-03 5.254435952892217028e+04
3.643858983763544404e-03 5.294989508924825350e+04
3.686095362172158059e-03 5.335627201683594467e+04
3.728821307182833642e-03 5.376343775706701854e+04
3.772042493416997554e-03 5.417133724208860804e+04
3.815764661271248397e-03 5.457991351030156511e+04
3.859993617679767074e-03 5.498910814193584520e+04
3.904735236885560103e-03 5.539886039720098779e+04
3.949995461220642823e-03 5.580910801845337119e+04
3.995780301895269192e-03 5.621978839597450860e+04
4.042095839796309639e-03 5.663083878853329225e+04
4.088948226294864159e-03 5.704219558097976551e+04
4.136343684063278035e-03 5.745379352673972608e+04
4.184288507901584922e-03 5.786556552895568893e+04
4.232789065573553354e-03 5.827744324481794320e+04
4.281851798652415615e-03 5.868935517780627561e+04
4.331483223376403000e-03 5.910122656714558252e+04
4.381689931514195016e-03 5.951298121293378063e+04
4.432478591240400501e-03 5.992454158089018892e+04
4.483855948021191196e-03 6.033582872960005625e+04
4.535828825510191016e-03 6.074676289617677685e+04
4.588404126454761513e-03 6.115726535327809688e+04
4.641588833612782412e-03 6.156725846388535138e+04
4.695390010680062544e-03 6.197666210335403593e+04
4.749814803228504315e-03 6.238538915455491951e+04
4.804870439655133628e-03 6.279334800716191239e+04
4.860564232142139222e-03 6.320044617519340682e+04
4.916903577628031589e-03 6.360659165426917025e+04
4.973895958790068052e-03 6.401169217062381358e+04
5.031548945038056761e-03 6.441565408191015740e+04
5.089870193519685330e-03 6.481838245545498648e+04
5.148867450137497269e-03 6.521978135105325782e+04
5.208548550577665401e-03 6.561975198706568335e+04
5.268921421350676766e-03 6.601819175198404992e+04
5.329994080844092930e-03 6.641499556677424698e+04
5.391774640387505396e-03 6.681005733633344062e+04
5.454271305329836186e-03 6.720326943928148830e+04
5.517492376129128420e-03 6.759452311346304487e+04
5.581446249454966556e-03 6.798370826064921857e+04
5.646141419303672866e-03 6.837071364834954147e+04
5.711586478126434545e-03 6.875542652970174095e+04
5.777790117970507157e-03 6.913773079863550083e+04
5.844761131633637551e-03 6.951750556521156977e+04
5.912508413831881436e-03 6.989462877870326338e+04
5.981040962380944001e-03 7.026897804212024494e+04
6.050367879391223974e-03 7.064043065935463528e+04
6.120498372476702517e-03 7.100886244820148568e+04
6.191441755977847815e-03 7.137414607910340419e+04
6.263207452198692356e-03 7.173615097172823153e+04
6.335804992658253774e-03 7.209474576802790398e+04
6.409244019356457114e-03 7.244979809336824110e+04
6.483534286054726779e-03 7.280117516540264478e+04
6.558685659571435525e-03 7.314874168603775615e+04
6.634708121092351002e-03 7.349235746077881777e+04
6.711611767496287149e-03 7.383187869862110529e+04
6.789406812696112230e-03 7.416716170174526633e+04
6.868103588995307790e-03 7.449806399083738506e+04
6.947712548460239883e-03 7.482444373543710390e+04
7.028244264308352446e-03 7.514615547886282729e+04
7.109709432312438099e-03 7.546304781476245262e+04
7.192118872221192789e-03 7.577496669344394468e+04
7.275483529196232965e-03 7.608175867433218809e+04
7.359814475265771296e-03 7.638327140400130884e+04
7.445122910795143496e-03 7.667935290979201091e+04
7.531420165974375344e-03 7.696984750989901659e+04
7.618717702322998914e-03 7.725459464678596123e+04
7.707027114212303652e-03 7.753343280693932320e+04
7.796360130405236531e-03 7.780620043108504615e+04
7.886728615614155974e-03 7.807273590248379332e+04
7.978144572076628638e-03 7.833287756475660717e+04
8.070620141149507584e-03 7.858646090024508885e+04
8.164167604921472240e-03 7.883331840095526422e+04
8.258799387844271284e-03 7.907328275845877943e+04
8.354528058382871408e-03 7.930618557300462271e+04
8.451366330684721012e-03 7.953185808746844123e+04
8.549327066268383804e-03 7.975013156185844855e+04
8.648423275731726215e-03 7.996083569645001262e+04
8.748668120479913615e-03 8.016379912132628669e+04
8.850074914473439122e-03 8.035885138201598602e+04
8.952657125996400095e-03 8.054582104749968858e+04
9.056428379445294677e-03 8.072453754026140086e+04
9.161402457138520528e-03 8.089482966898028099e+04
9.267593301146882789e-03 8.105652359701375826e+04
9.375015015145289968e-03 8.120944445885394816e+04
9.483681866285927423e-03 8.135342018252842536e+04
9.593608287093146128e-03 8.148828200066596037e+04
9.704808877380306092e-03 8.161386431545254891e+04
9.817298406188841586e-03 8.172999931268421642e+04
9.931091813749801447e-03 8.183651545648655156e+04
1.004620421346813161e-02 8.193324116459533980e+04
1.016265089392995140e-02 8.202000917347664654e+04
1.028044732093309765e-02 8.209665686535445275e+04
1.039960913954120388e-02 8.216302536682112259e+04
1.052015217616159015e-02 8.221895449677805300e+04
1.064209244064724669e-02 8.226428319556073984e+04
1.076544612842315896e-02 8.229885310474790458e+04
1.089022962263730583e-02 8.232251098126603756e+04
1.101645949633657008e-02 8.233510880925960373e+04
1.114415251466788215e-02 8.233650284052628558e+04
1.127332563710487130e-02 8.232654898961682920e+04
1.140399601970033122e-02 8.230510455968331371e+04
1.153618101736478448e-02 8.227203157118805393e+04
1.166989818617147553e-02 8.222719786199841474e+04
1.180516528568805595e-02 8.217047709042651695e+04
1.194200028133532432e-02 8.210174834214875591e+04
1.208042134677328981e-02 8.202089575551328016e+04
1.222044686631488727e-02 8.192780927051247272e+04
1.236209543736769070e-02 8.182238408037982299e+04
1.250538587290391315e-02 8.170451947762673080e+04
1.265033720395903824e-02 8.157412002877909981e+04
1.279696868215941634e-02 8.143109871896337427e+04
1.294529978227916024e-02 8.127538003538595513e+04
1.309535020482667685e-02 8.110689733062489540e+04
1.324713987866117486e-02 8.092559008841912146e+04
1.340068896363950761e-02 8.073140367412877094e+04
1.355601785329368925e-02 8.052429046719161852e+04
1.371314717753945554e-02 8.030421295193930564e+04
1.387209780541620932e-02 8.007114518310109270e+04
1.403289084785873213e-02 7.982507011406814854e+04
1.419554766050101606e-02 7.956598169939461513e+04
1.436008984651260603e-02 7.929388666457928775e+04
1.452653925946781159e-02 7.900880042556970147e+04
1.469491800624817164e-02 7.871075263092917157e+04
1.486524844997857107e-02 7.839978662845412327e+04
1.503755321299738400e-02 7.807595536740195530e+04
1.521185517986104775e-02 7.773932220409515139e+04
1.538817750038346324e-02 7.738996119817656290e+04
1.556654359271062056e-02 7.702795583178324159e+04
1.574697714643086624e-02 7.665341419970565767e+04
1.592950212572123020e-02 7.626646085259268875e+04
1.611414277253019750e-02 7.586723172062430240e+04
1.630092360979741237e-02 7.545587713431856537e+04
1.648986944471064753e-02 7.503256095560140966e+04
1.668100537200059227e-02 7.459745594934640394e+04
1.687435677727375585e-02 7.415075843959885242e+04
1.706994934038407949e-02 7.369267441978775605e+04
1.726780903884355886e-02 7.322342696253301983e+04
1.746796215127245644e-02 7.274326346104615368e+04
1.767043526088946798e-02 7.225244795845354383e+04
